Filename	200MP mastercurve2 (SeqTest 2)
Instrument name	
Operator	Administrator
rundate	8/8/2018
File Parameters	
[Name]
[Instrument type]
[step]
Temperature Sweep - 1
Angular frequency	Storage modulus	Loss modulus	Tan(delta)	Complex modulus	Complex viscosity	Oscillation torque	Dynamic viscosity	Out of phase component of η*	Storage compliance	Loss compliance	Time	Temperature	Oscillation strain	Oscillation stress	Phase angle	Oscillation strain (cmd)	Displacement	Computed Alpha	Delta length	Axial force	Step time
rad/s	Pa	Pa		Pa	Pa.s	g.cm	Pa.s	Pa.s	1/Pa	1/Pa	s	°C	%	Pa	°	%	rad	mm/s	mm	N	s
100.000	84071.5	28636.1	0.340616	88814.6	888.146	1.51380	286.361	840.715	1.06581e-5	3.63032e-6	54.0000	100.070	1.66266	1476.69	18.8097	2.00000	5.26649e-3	0.00000	0.1940	0.403471	0.00000
63.0957	77195.8	25555.6	0.331049	81316.0	1288.77	1.38104	405.029	1223.47	1.16746e-5	3.86487e-6	61.0000	100.055	1.65673	1347.19	18.3171	2.00000	5.24770e-3	0.00000	0.1940	0.403471	7.00000
39.8107	70778.1	23122.6	0.326691	74459.3	1870.33	1.26249	580.813	1777.87	1.27662e-5	4.17060e-6	67.0000	100.042	1.65397	1231.54	18.0918	2.00000	5.23896e-3	0.00000	0.1940	0.403471	13.0000
25.1189	64647.4	21275.7	0.329104	68058.4	2709.45	1.15287	847.002	2573.66	1.39569e-5	4.59326e-6	73.0000	100.034	1.65241	1124.60	18.2166	2.00000	5.23402e-3	0.00000	0.1940	0.403471	19.0000
15.8489	59250.9	19635.2	0.331390	62419.7	3938.41	1.05619	1238.90	3738.48	1.52073e-5	5.03955e-6	80.0000	100.027	1.65060	1030.30	18.3347	2.00000	5.22829e-3	0.00000	0.1940	0.403471	26.0000
10.0000	53893.0	18166.1	0.337077	56872.4	5687.24	0.961593	1816.61	5389.30	1.66621e-5	5.61642e-6	87.0000	100.019	1.64934	938.020	18.6278	2.00000	5.22429e-3	0.00000	0.1940	0.403471	33.0000
6.30957	48871.2	16912.6	0.346066	51714.9	8196.25	0.874061	2680.47	7745.56	1.82735e-5	6.32383e-6	95.0000	100.017	1.64872	852.634	19.0890	2.00000	5.22232e-3	0.00000	0.1940	0.403471	41.0000
3.98107	44306.6	15619.1	0.352524	46979.0	11800.6	0.793805	3923.35	11129.3	2.00752e-5	7.07699e-6	103.000	100.022	1.64828	774.345	19.4188	2.00000	5.22092e-3	0.00000	0.1940	0.403471	49.0000
2.51189	40030.8	14398.8	0.359692	42541.6	16936.1	0.718637	5732.25	15936.5	2.21190e-5	7.95605e-6	112.000	100.001	1.64785	701.020	19.7833	2.00000	5.21955e-3	0.00000	0.1940	0.403471	58.0000
1.58489	35901.8	13329.2	0.371269	38296.3	24163.3	0.646666	8410.15	22652.5	2.44795e-5	9.08848e-6	125.000	99.992	1.64719	630.813	20.3684	2.00000	5.21748e-3	0.00000	0.1940	0.403471	71.0000
1.00000	32493.8	11887.4	0.365837	34600.0	34600.0	0.584421	11887.4	32493.8	2.71424e-5	9.92969e-6	144.000	99.988	1.64767	570.095	20.0944	2.00000	5.21900e-3	0.00000	0.1940	0.403471	90.0000
0.630957	29399.4	11128.8	0.378540	31435.3	49821.5	0.530961	17638.0	46594.9	2.97512e-5	1.12620e-5	176.000	99.987	1.64765	517.944	20.7337	2.00000	5.21894e-3	0.00000	0.1940	0.403471	122.000
100.000	90330.4	31909.9	0.353257	95800.9	958.009	1.61693	319.099	903.304	9.84225e-6	3.47685e-6	258.000	94.306	1.64643	1577.29	19.4561	2.00000	5.11628e-3	0.00000	0.1700	0.405589	204.000
63.0957	82722.5	27761.5	0.335598	87256.5	1382.92	1.47189	439.990	1311.06	1.08649e-5	3.64625e-6	266.000	94.398	1.64550	1435.81	18.5516	2.00000	5.11340e-3	0.00000	0.1700	0.405589	212.000
39.8107	75905.1	25010.6	0.329498	79919.5	2007.49	1.34861	628.239	1906.65	1.18841e-5	3.91579e-6	271.000	94.466	1.64610	1315.55	18.2370	2.00000	5.11525e-3	0.00000	0.1700	0.405589	217.000
25.1189	69515.0	22689.1	0.326391	73124.1	2911.12	1.23324	903.268	2767.44	1.30004e-5	4.24322e-6	277.000	94.541	1.64516	1203.01	18.0762	2.00000	5.11234e-3	0.00000	0.1700	0.405589	223.000
15.8489	63728.9	20859.8	0.327321	67056.0	4230.95	1.12967	1316.17	4021.02	1.41730e-5	4.63912e-6	284.000	94.615	1.64337	1101.98	18.1244	2.00000	5.10677e-3	0.00000	0.1700	0.405589	230.000
10.0000	58118.3	19241.0	0.331065	61220.5	6122.05	1.03069	1924.10	5811.83	1.55067e-5	5.13372e-6	291.000	94.688	1.64229	1005.42	18.3179	2.00000	5.10342e-3	0.00000	0.1700	0.405589	237.000
6.30957	52756.7	17856.2	0.338463	55696.6	8827.32	0.937089	2830.02	8361.37	1.70067e-5	5.75614e-6	299.000	94.759	1.64124	914.116	18.6991	2.00000	5.10016e-3	0.00000	0.1700	0.405589	245.000
