Filename	200MP mastercurve2 (SeqTest 3)
Instrument name	
Operator	Administrator
rundate	8/8/2018
[step]
Temperature Sweep - 1
Angular frequency	Storage modulus	Loss modulus	Tan(delta)	Complex modulus	Complex viscosity	Oscillation torque	Dynamic viscosity	Out of phase component of η*	Storage compliance	Loss compliance	Time	Temperature	Oscillation strain	Oscillation stress	Phase angle	Oscillation strain (cmd)	Displacement	Computed Alpha	Delta length	Axial force	Step time
rad/s	Pa	Pa		Pa	Pa.s	g.cm	Pa.s	Pa.s	1/Pa	1/Pa	s	°C	%	Pa	°	%	rad	mm/s	mm	N	s
100.000	178645	145918	0.816802	230665	2306.65	2.46190	1459.18	1786.45	3.35761e-6	2.74250e-6	66.0000	45.701	1.04114	2401.55	39.2420	1.00000	2.06927e-3	0.00000	-0.02000	0.513809	0.00000
63.0957	151556	114195	0.753483	189762	3007.53	2.03660	1809.87	2402.00	4.20876e-6	3.17123e-6	73.0000	45.643	1.04693	1986.67	36.9974	1.00000	2.08077e-3	0.00000	-0.02000	0.513809	7.00000
39.8107	130351	89683.4	0.688014	158223	3974.38	1.69646	2252.75	3274.27	5.20685e-6	3.58239e-6	79.0000	45.598	1.04591	1654.87	34.5285	1.00000	2.07874e-3	0.00000	-0.02000	0.513809	13.0000
25.1189	113568	70994.8	0.625133	133932	5331.94	1.43718	2826.35	4521.21	6.33117e-6	3.95782e-6	85.0000	45.537	1.04676	1401.95	32.0108	1.00000	2.08044e-3	0.00000	-0.02000	0.513809	19.0000
15.8489	99925.4	56451.6	0.564937	114769	7241.42	1.22940	3561.85	6304.87	7.58627e-6	4.28577e-6	92.0000	45.466	1.04494	1199.26	29.4637	1.00000	2.07681e-3	0.00000	-0.02000	0.513809	26.0000
10.0000	89239.0	45197.6	0.506478	100032	10003.2	1.07050	4519.76	8923.90	8.91818e-6	4.51686e-6	99.0000	45.392	1.04392	1044.25	26.8612	1.00000	2.07479e-3	0.00000	-0.02000	0.513809	33.0000
6.30957	80235.2	36715.7	0.457600	88236.8	13984.6	0.943757	5819.04	12716.4	1.03054e-5	4.71576e-6	107.000	45.324	1.04335	920.621	24.5888	1.00000	2.07367e-3	0.00000	-0.02000	0.513809	41.0000
3.98107	73133.1	30103.0	0.411620	79086.3	19865.6	0.845715	7561.54	18370.2	1.16926e-5	4.81291e-6	115.000	45.257	1.04314	824.982	22.3730	1.00000	2.07325e-3	0.00000	-0.02000	0.513809	49.0000
2.51189	66891.8	25373.9	0.379327	71542.6	28481.6	0.764077	10101.5	26630.1	1.30690e-5	4.95744e-6	123.000	45.203	1.04182	745.346	20.7731	1.00000	2.07322e-3	0.00000	-0.01900	0.513809	57.0000
1.58489	61361.9	21523.6	0.350766	65027.3	41029.4	0.694966	13580.5	38716.7	1.45113e-5	5.09008e-6	137.000	45.132	1.04253	677.929	19.3291	1.00000	2.07464e-3	0.00000	-0.01900	0.513809	71.0000
1.00000	56758.0	19004.1	0.334827	59855.0	59855.0	0.639882	19004.1	56758.0	1.58426e-5	5.30453e-6	156.000	45.071	1.04285	624.196	18.5120	1.00000	2.07527e-3	0.00000	-0.01900	0.513809	90.0000
0.630957	52548.6	17213.0	0.327564	55296.0	87638.2	0.591093	27280.8	83283.9	1.71860e-5	5.62951e-6	188.000	45.021	1.04276	576.603	18.1369	1.00000	2.07509e-3	0.00000	-0.01900	0.513809	122.000
100.000	239330	220496	0.921305	325419	3254.19	3.46541	2204.96	2393.30	2.26002e-6	2.08216e-6	273.000	39.161	1.03880	3380.46	42.6545	1.00000	2.02566e-3	0.00000	-0.03500	0.397255	207.000
63.0957	197567	169607	0.858480	260383	4126.79	2.79527	2688.09	3131.22	2.91400e-6	2.50161e-6	280.000	39.269	1.04721	2726.74	40.6454	1.00000	2.04205e-3	0.00000	-0.03500	0.397255	214.000
39.8107	165063	130787	0.792342	210597	5289.96	2.25582	3285.21	4146.21	3.72174e-6	2.94889e-6	285.000	39.347	1.04490	2200.52	38.3913	1.00000	2.03755e-3	0.00000	-0.03500	0.397255	219.000
25.1189	139706	101435	0.726059	172647	6873.20	1.85118	4038.20	5561.81	4.68704e-6	3.40307e-6	291.000	39.437	1.04595	1805.80	35.9819	1.00000	2.03960e-3	0.00000	-0.03500	0.397255	225.000
15.8489	119887	78957.1	0.658599	143551	9057.48	1.53903	4981.86	7564.33	5.81776e-6	3.83157e-6	298.000	39.531	1.04583	1501.30	33.3689	1.00000	2.03937e-3	0.00000	-0.03500	0.397255	232.000
10.0000	104396	61958.2	0.593494	121397	12139.7	1.30052	6195.82	10439.6	7.08379e-6	4.20419e-6	306.000	39.615	1.04503	1268.64	30.6889	1.00000	2.03782e-3	0.00000	-0.03500	0.397255	240.000
6.30957	91999.9	49127.2	0.533992	104295	16529.7	1.11696	7786.14	14581.0	8.45784e-6	4.51642e-6	314.000	39.701	1.04471	1089.58	28.1018	1.00000	2.03718e-3	0.00000	-0.03500	0.397255	248.000
3.98107	82214.2	39222.5	0.477077	91091.0	22881.0	0.975274	9852.25	20651.3	9.90822e-6	4.72699e-6	322.000	39.771	1.04441	951.365	25.5048	1.00000	2.03660e-3	0.00000	-0.03500	0.397255	256.000
2.51189	74403.5	31723.2	0.426368	80884.1	32200.5	0.865776	12629.3	29620.6	1.13728e-5	4.84899e-6	331.000	39.838	1.04415	844.552	23.0918	1.00000	2.03610e-3	0.00000	-0.03500	0.397255	265.000
1.58489	67452.4	26261.4	0.389332	72384.3	45671.4	0.774420	16569.8	42559.6	1.28739e-5	5.01221e-6	345.000	39.903	1.04365	755.435	21.2726	1.00000	2.03511e-3	0.00000	-0.03500	0.397255	279.000
1.00000	61958.7	22246.8	0.359059	65831.6	65831.6	0.704598	22246.8	61958.7	1.42966e-5	5.13333e-6	363.000	39.949	1.04407	687.325	19.7511	1.00000	2.03593e-3	0.00000	-0.03500	0.397255	297.000
0.630957	56370.5	19430.6	0.344694	59625.3	94499.8	0.638154	30795.4	89341.2	1.58559e-5	5.46543e-6	395.000	39.991	1.04404	622.510	19.0188	1.00000	2.03587e-3	0.00000	-0.03500	0.397255	329.000
100.000	298156	294101	0.986400	418798	4187.98	4.46471	2941.01	2981.56	1.69994e-6	1.67682e-6	518.000	34.667	1.03994	4355.26	44.6077	1.00000	1.98629e-3	0.00000	-0.05100	0.448754	452.000
63.0957	243733	226374	0.928778	332643	5272.03	3.55454	3587.79	3862.91	2.20272e-6	2.04583e-6	525.000	34.734	1.04238	3467.40	42.8852	1.00000	1.99095e-3	0.00000	-0.05100	0.448754	459.000
39.8107	201347	174886	0.868582	266694	6699.05	2.85917	4392.94	5057.60	2.83086e-6	2.45883e-6	530.000	34.776	1.04580	2789.07	40.9770	1.00000	1.99747e-3	0.00000	-0.05100	0.448754	464.000
25.1189	168220	135283	0.804199	215869	8593.91	2.31766	5385.70	6696.98	3.60992e-6	2.90309e-6	536.000	34.818	1.04732	2260.84	38.8062	1.00000	2.00038e-3	0.00000	-0.05100	0.448754	470.000
